Cycle,ETH In Cycle,Q Produced,Total Batches,Total Staked Q,Change in Stake,ETH Burned
41,0.56,1.319,69,765.961,-3.531,0.013
42,0.949,3.205,268,775.197,9.236,0.032
43,0.734,2.361,94,775.031,-0.166,0.024
44,1.444,6.948,381,771.737,-3.294,0.07
45,1.001,4.213,282,773.52,1.783,0.042
46,0.388,1.392,55,774.883,1.363,0.014
47,0.183,0.627,26,763.626,-11.257,0.006
48,0.267,1.08,28,770.173,6.547,0.011
49,1.402,6.582,396,766.722,-3.451,0.066
50,0.708,4.546,100,773.649,6.927,0.046
51,1.987,10.483,279,789.174,15.525,0.105
52,2.328,12.862,314,800.686,11.512,0.129
53,1.105,6.679,308,798.111,-2.575,0.067
54,0.176,0.917,25,806.13,8.019,0.009
55,0.651,2.556,82,810.103,3.973,0.026
56,0.189,1.083,54,807.793,-2.31,0.011
57,0.296,1.973,42,814.51,6.717,0.02
58,0.629,3.059,89,812.329,-2.181,0.031
59,0.147,0.819,21,805.745,-6.584,0.008
60,0.084,0.431,12,802.612,-3.133,0.004
61,0.176,1.084,25,804.72,2.108,0.011
62,0.162,0.291,23,804.539,-0.181,0.003
63,0.239,0.804,24,814.183,9.644,0.008
64,0.317,2.531,90,814.436,0.253,0.025
65,0.389,4.222,55,813.301,-1.135,0.042
66,0.232,2.389,33,815.509,2.208,0.024
67,0.126,0.83,18,813.146,-2.363,0.008
68,0.035,0.28,5,811.061,-2.085,0.003
69,2.367,32.023,322,839.618,28.557,0.321
70,1.684,15.445,472,850.045,10.427,0.155
71,0.197,0.791,28,845.817,-4.228,0.008
72,0.232,1.931,33,852.072,6.255,0.019
73,0.454,4.841,64,856.559,4.487,0.049
74,0.084,0.469,12,859.29,2.731,0.005
75,0.0,0.0,0,0.0,-859.29,0.0
76,0.084,0.968,12,860.149,860.149,0.01
77,0.155,1.715,22,867.15,7.001,0.017
